PreTimes,PreVals,meanRunTimes,meanRun
"2016-05-26 16:00:00",2.1,"2016-05-26 16:00:06",0.348774233685971
"2016-05-26 16:10:00",2.5,"2016-05-26 16:10:06",0.339133016766693
"2016-05-26 16:20:00",0,"2016-05-26 16:20:06",0.33913301676669
"2016-05-26 16:30:00",0.1,"2016-05-26 16:30:06",0
"2016-05-26 16:40:00",0,"2016-05-26 16:40:06",0.174387116842984
"2016-05-26 16:50:00",0,"2016-05-26 16:50:06",0
"2016-05-26 17:00:00",4.8,"2016-05-26 17:00:06",0
"2016-05-26 17:10:00",14.4,"2016-05-26 17:10:06",0
"2016-05-26 17:20:00",5.5,"2016-05-26 17:20:06",0
"2016-05-26 17:30:00",1,"2016-05-26 17:30:06",0
"2016-05-26 17:40:00",1.7,"2016-05-26 17:40:06",0
"2016-05-26 17:50:00",0.6,"2016-05-26 17:50:06",0.339133016766693
"2016-05-26 18:00:00",1.7,"2016-05-26 18:00:06",0
"2016-05-26 18:10:00",0.9,"2016-05-26 18:10:06",0
"2016-05-26 18:20:00",0.1,"2016-05-26 18:20:06",0
"2016-05-26 18:30:00",0.4,"2016-05-26 18:30:06",0.325864388585292
"2016-05-26 18:40:00",0.2,"2016-05-26 18:40:06",0
"2016-05-26 18:50:00",0,"2016-05-26 18:50:06",0
"2016-05-26 19:00:00",0,"2016-05-26 19:00:06",0
"2016-05-26 19:10:00",0.1,"2016-05-26 19:10:06",0.174387116842986
"2016-05-26 19:20:00",0,"2016-05-26 19:20:06",0
"2016-05-26 19:30:00",0,"2016-05-26 19:30:06",0
"2016-05-26 19:40:00",0.1,"2016-05-26 19:40:06",0
"2016-05-26 19:50:00",0,"2016-05-26 19:50:06",0.174387116842986
"2016-05-26 20:00:00",0,"2016-05-26 20:00:06",0.169566508383343
"2016-05-26 20:10:00",0.2,"2016-05-26 20:10:06",0
"2016-05-26 20:20:00",0.1,"2016-05-26 20:20:06",0
"2016-05-26 20:30:00",0.1,"2016-05-26 20:30:06",0
"2016-05-26 20:40:00",0.1,"2016-05-26 20:40:06",0
"2016-05-26 20:50:00",0.2,"2016-05-26 20:50:06",0
"2016-05-26 21:00:00",0.1,"2016-05-26 21:00:06",0
"2016-05-26 21:10:00",0,"2016-05-26 21:10:06",0
"2016-05-26 21:20:00",0,"2016-05-26 21:20:06",0
"2016-05-26 21:30:00",0.1,"2016-05-26 21:30:06",0
"2016-05-26 21:40:00",0.1,"2016-05-26 21:40:06",0
"2016-05-26 21:50:00",0,"2016-05-26 21:50:06",0.352401644948088
