 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15. 2.    Time:  15:12:10
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -6887.664 0.4095   0.3137E-05  0.9426E-05 -0.3137E-05  0.0000E+00      -1  -0.503E-05   20.00
   2   -10.0000   -6887.664 0.4095   0.3137E-05  0.9426E-05 -0.3137E-05  0.0000E+00      -1  -0.503E-05   20.00
   3   -20.0000   -6887.664 0.4095   0.3137E-05  0.9426E-05 -0.3137E-05  0.0000E+00      -1  -0.503E-05   20.00
   4   -30.0000   -6887.664 0.4095   0.3137E-05  0.9426E-05 -0.3137E-05  0.0000E+00      -1  -0.503E-05   20.00
   5   -40.0000   -6887.664 0.4095   0.3137E-05  0.9426E-05 -0.3137E-05  0.0000E+00      -1  -0.503E-05   20.00
   6   -50.0000   -6887.664 0.4095   0.3137E-05  0.9426E-05  0.8523E-02  0.0000E+00      -1   0.137E-01   20.00
   7   -60.0000   -3848.124 0.4090   0.1094E-03  0.1858E-04  0.8470E-02  0.0000E+00      -1   0.136E-01   20.00
   8   -70.0000   -3848.124 0.4090   0.1094E-03  0.1858E-04 -0.1094E-03  0.0000E+00      -1  -0.175E-03   20.00
   9   -80.0000   -3848.124 0.4090   0.1094E-03  0.1858E-04 -0.1094E-03  0.0000E+00      -1  -0.175E-03   20.00
  10   -90.0000   -3848.124 0.4090   0.1094E-03  0.1858E-04 -0.1094E-03  0.0000E+00      -1  -0.175E-03   20.00
  11  -100.0000   -3848.124 0.4090   0.1094E-03  0.1858E-04 -0.1094E-03  0.0000E+00      -1  -0.175E-03   20.00
  12  -110.0000   -3848.124 0.4090   0.1094E-03  0.1858E-04 -0.1094E-03  0.0000E+00      -1  -0.175E-03   20.00
  13  -120.0000   -3848.124 0.4090   0.1094E-03  0.1858E-04 -0.1094E-03  0.0000E+00      -1  -0.175E-03   20.00
  14  -130.0000   -3848.124 0.4090   0.1094E-03  0.1858E-04 -0.1094E-03  0.0000E+00      -1  -0.175E-03   20.00
