 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  15. 2.    Time:  15:13:10
 Units: L = mm   , T = min  , M = mmol 


 Time:       10.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -8372.947 0.3972   0.1885E-05  0.7420E-05 -0.1885E-05  0.0000E+00      -1  -0.302E-05   20.00
   2   -10.0000   -8372.947 0.3972   0.1885E-05  0.7420E-05 -0.1885E-05  0.0000E+00      -1  -0.302E-05   20.00
   3   -20.0000   -8372.947 0.3972   0.1885E-05  0.7420E-05 -0.1885E-05  0.0000E+00      -1  -0.302E-05   20.00
   4   -30.0000   -8372.947 0.3972   0.1885E-05  0.7420E-05 -0.1885E-05  0.0000E+00      -1  -0.302E-05   20.00
   5   -40.0000   -8372.947 0.3972   0.1885E-05  0.7420E-05 -0.1885E-05  0.0000E+00      -1  -0.302E-05   20.00
   6   -50.0000   -8372.947 0.3972   0.1885E-05  0.7420E-05  0.7138E-02  0.0000E+00      -1   0.114E-01   20.00
   7   -60.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04  0.7102E-02  0.0000E+00      -1   0.114E-01   20.00
   8   -70.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.118E-03   20.00
   9   -80.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.118E-03   20.00
  10   -90.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.118E-03   20.00
  11  -100.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.118E-03   20.00
  12  -110.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.118E-03   20.00
  13  -120.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.118E-03   20.00
  14  -130.0000   -4577.746 0.3972   0.7356E-04  0.1530E-04 -0.7356E-04  0.0000E+00      -1  -0.118E-03   20.00
